8.304100000000000000e+04,1.624070000000000000e+05,1.813330000000000000e+05,1.628580000000000000e+05,1.651460000000000000e+05
1.689840000000000000e+05,1.782360000000000000e+05,1.650830000000000000e+05,1.681740000000000000e+05,1.707650000000000000e+05
1.750280000000000000e+05,1.796240000000000000e+05,1.881580000000000000e+05,1.824350000000000000e+05,1.779430000000000000e+05
1.715400000000000000e+05,2.108050000000000000e+05,1.714730000000000000e+05,1.669390000000000000e+05,1.639420000000000000e+05
1.593050000000000000e+05,1.699960000000000000e+05,1.630050000000000000e+05,1.624780000000000000e+05,1.796210000000000000e+05
1.681840000000000000e+05,1.742120000000000000e+05,1.814020000000000000e+05,2.002240000000000000e+05,1.588290000000000000e+05
1.545270000000000000e+05,1.590570000000000000e+05,1.671430000000000000e+05,1.592540000000000000e+05,1.612620000000000000e+05
1.677650000000000000e+05,1.681310000000000000e+05,1.801620000000000000e+05,1.690770000000000000e+05,1.670250000000000000e+05
1.666530000000000000e+05,1.832890000000000000e+05,1.684390000000000000e+05,1.846980000000000000e+05,1.756670000000000000e+05
1.796960000000000000e+05,1.786130000000000000e+05,2.053080000000000000e+05,1.550900000000000000e+05,1.576290000000000000e+05
1.609180000000000000e+05,1.539590000000000000e+05,1.636720000000000000e+05,1.667240000000000000e+05,1.703930000000000000e+05
1.496860000000000000e+05,1.724410000000000000e+05,1.527800000000000000e+05,1.545930000000000000e+05,1.576770000000000000e+05
1.310180000000000000e+05,1.238960000000000000e+05,1.567070000000000000e+05,1.091890000000000000e+05,1.122470000000000000e+05
9.735000000000000000e+04,5.960500000000000000e+04,6.837100000000000000e+04,6.663300000000000000e+04,7.113000000000000000e+04
7.423100000000000000e+04,7.325500000000000000e+04,7.280900000000000000e+04,7.150200000000000000e+04,7.005300000000000000e+04
